clusterName,binary_genes,rf_feature_importance,cluster_median,binary_score
AT2,Slc34a2,0.028669945887098026,69.0,1.0
AT2,Hc,0.026612587077048333,19.0,1.0
AT2,S100g,0.02106275640042335,16.0,1.0
AT2,Lgi3,0.01837662484161453,6.0,1.0
AT2,Egfl6,0.016315952575684963,4.0,1.0
AT2,Lamp3,0.015894590146259692,20.0,1.0
AT2,Sftpc,0.037410098675174655,3382.0,0.9988829752283329
AT2,Scd1,0.024995924932965596,55.5,0.9969969969969971
AT2,Cxcl15,0.021724860362999532,107.0,0.9968847352024923
AT2,Sfta2,0.020224746574428444,14.0,0.9960317460317462
AT2,Slc34a2,0.028669945887098026,69.0,1.0
AT2,Hc,0.026612587077048333,19.0,1.0
AT2,S100g,0.02106275640042335,16.0,1.0
AT2,Lgi3,0.01837662484161453,6.0,1.0
AT2,Egfl6,0.016315952575684963,4.0,1.0
AT2,Lamp3,0.015894590146259692,20.0,1.0
AT2,Sftpc,0.037410098675174655,3382.0,0.9988829752283329
AT2,Scd1,0.024995924932965596,55.5,0.9969969969969971
AT2,Cxcl15,0.021724860362999532,107.0,0.9968847352024923
AT2,Sfta2,0.020224746574428444,14.0,0.9960317460317462
